,i,array,x,y
0,0,top,-13.8753,-64.0872
1,1,top,-20.8129,-60.0818
2,2,top,-27.7506,-56.0763
3,3,top,-34.6882,-52.0709
4,4,top,-41.6259,-48.0654
5,5,top,-48.5635,-44.06
6,6,top,-1.67313e-05,-64.0872
7,7,top,-6.93766,-60.0818
8,8,top,-13.8753,-56.0763
9,9,top,-20.8129,-52.0709
10,10,top,-27.7506,-48.0654
11,11,top,-34.6882,-44.06
12,12,top,-41.6259,-40.0545
13,13,top,-48.5635,-36.0491
14,14,top,-55.5012,-32.0436
15,15,top,13.8753,-64.0872
16,16,top,6.93763,-60.0818
17,17,top,-1.46399e-05,-56.0763
18,18,top,-6.93766,-52.0709
19,19,top,-13.8753,-48.0654
20,20,top,-20.8129,-44.06
21,21,top,-27.7506,-40.0545
22,22,top,-34.6882,-36.0491
23,23,top,-41.6259,-32.0436
24,24,top,-48.5635,-28.0382
25,25,top,-55.5012,-24.0327
26,26,top,-62.4388,-20.0273
27,27,top,20.8129,-60.0818
28,28,top,13.8753,-56.0763
29,29,top,6.93763,-52.0709
30,30,top,-1.2548499999999999e-05,-48.0654
31,31,top,-6.93766,-44.06
32,32,top,-13.8753,-40.0545
33,33,top,-20.8129,-36.0491
34,34,top,-27.7506,-32.0436
35,35,top,-34.6882,-28.0382
36,36,top,-41.6259,-24.0327
37,37,top,-48.5635,-20.0273
38,38,top,-55.5012,-16.0218
39,39,top,-62.4388,-12.0164
40,40,top,27.7506,-56.0763
41,41,top,20.8129,-52.0709
42,42,top,13.8753,-48.0654
43,43,top,6.93763,-44.06
44,44,top,-1.04571e-05,-40.0545
45,45,top,-6.93765,-36.0491
46,46,top,-13.8753,-32.0436
47,47,top,-20.8129,-28.0382
48,48,top,-27.7506,-24.0327
49,49,top,-34.6882,-20.0273
50,50,top,-41.6259,-16.0218
51,51,top,-48.5635,-12.0164
52,52,top,-55.5012,-8.01092
53,53,top,-62.4388,-4.00547
54,54,top,34.6882,-52.0709
55,55,top,27.7506,-48.0654
56,56,top,20.8129,-44.06
57,57,top,13.8753,-40.0545
58,58,top,6.93763,-36.0491
59,59,top,-8.36565e-06,-32.0436
60,60,top,-6.93765,-28.0382
61,61,top,-13.8753,-24.0327
62,62,top,-20.8129,-20.0273
63,63,top,-27.7506,-16.0218
64,64,top,-34.6882,-12.0164
65,65,top,-41.6259,-8.01091
66,66,top,-48.5635,-4.00546
67,67,top,-55.5012,-1.44897e-05
68,68,top,-62.4388,4.00544
69,69,top,41.6259,-48.0654
70,70,top,34.6882,-44.06
71,71,top,27.7506,-40.0545
72,72,top,20.8129,-36.0491
73,73,top,13.8753,-32.0436
74,74,top,6.937639999999999,-28.0382
75,75,top,-6.27423e-06,-24.0327
76,76,top,-6.93765,-20.0273
77,77,top,-13.8753,-16.0218
78,78,top,-20.8129,-12.0164
79,79,top,-27.7506,-8.01091
80,80,top,-34.6882,-4.00546
81,81,top,-41.6259,-1.08673e-05
82,82,top,-48.5635,4.00544
83,83,top,-55.5011,8.01089
84,84,top,-62.4388,12.0163
85,85,top,48.5635,-44.06
86,86,top,41.6259,-40.0545
87,87,top,34.6882,-36.0491
88,88,top,27.7506,-32.0436
89,89,top,20.8129,-28.0382
90,90,top,13.8753,-24.0327
91,91,top,6.937639999999999,-20.0273
92,92,top,-4.18282e-06,-16.0218
93,93,top,-6.93765,-12.0164
94,94,top,-13.8753,-8.01091
95,95,top,-20.8129,-4.00546
96,96,top,-27.7506,-7.244860000000001e-06
97,97,top,-34.6882,4.00544
98,98,top,-41.6259,8.01089
99,99,top,-48.5635,12.0163
100,100,top,-55.5011,16.0218
101,101,top,-62.4388,20.0272
102,102,top,48.5635,-36.0491
103,103,top,41.6259,-32.0436
104,104,top,34.6882,-28.0382
105,105,top,27.7506,-24.0327
106,106,top,20.8129,-20.0273
107,107,top,13.8753,-16.0218
108,108,top,6.937639999999999,-12.0164
109,109,top,-2.09141e-06,-8.0109
110,110,top,-6.937639999999999,-4.00545
111,111,top,-13.8753,-3.6224300000000007e-06
112,112,top,-20.8129,4.00545
113,113,top,-27.7506,8.0109
114,114,top,-34.6882,12.0163
115,115,top,-41.6259,16.0218
116,116,top,-48.5635,20.0272
117,117,top,-55.5011,24.0327
118,184,top,62.4388,-4.00544
119,185,top,55.5012,1.44897e-05
120,186,top,48.5635,4.00546
121,187,top,41.6259,8.01091
122,122,top,27.7506,-16.0218
123,123,top,20.8129,-12.0163
124,124,top,13.8753,-8.0109
125,125,top,6.937639999999999,-4.00545
126,126,top,-0.0,0.0
127,127,top,-6.937639999999999,4.00545
128,128,top,-13.8753,8.0109
129,129,top,-20.8129,12.0164
130,130,top,-27.7506,16.0218
131,131,top,-34.6882,20.0273
132,132,top,-41.6259,24.0327
133,133,top,-48.5635,28.0382
134,134,top,-55.5011,32.0436
135,199,top,62.4388,4.00547
136,200,top,55.5012,8.01092
137,155,top,34.6882,-4.00544
138,168,top,62.4388,-12.0163
139,139,top,27.7506,-8.0109
140,140,top,20.8129,-4.00545
141,141,top,13.8753,3.6224300000000007e-06
142,142,top,6.937639999999999,4.00545
143,143,top,2.09141e-06,8.0109
144,144,top,-6.937639999999999,12.0164
145,145,top,-13.8753,16.0218
146,146,top,-20.8129,20.0273
147,147,top,-27.7506,24.0327
148,148,top,-34.6882,28.0382
149,149,top,-41.6259,32.0436
150,150,top,-48.5635,36.0491
151,169,top,55.5011,-8.01089
152,170,top,48.5635,-4.00544
153,171,top,41.6259,1.08673e-05
154,172,top,34.6882,4.00546
155,137,top,41.6259,-16.0218
156,206,top,13.8753,32.0436
157,205,top,20.8129,28.0382
158,204,top,27.7506,24.0327
159,203,top,34.6882,20.0273
160,194,top,-6.93763,36.0491
161,193,top,8.36565e-06,32.0436
162,162,top,-13.8753,24.0327
163,163,top,-20.8129,28.0382
164,164,top,-27.7506,32.0436
165,165,top,-34.6882,36.0491
166,166,top,-41.6259,40.0545
167,167,top,-48.5635,44.06
168,138,top,34.6882,-12.0163
169,151,top,62.4388,-20.0272
170,152,top,55.5011,-16.0218
171,153,top,48.5635,-12.0163
172,154,top,41.6259,-8.01089
173,192,top,6.93765,28.0382
174,191,top,13.8753,24.0327
175,190,top,20.8129,20.0273
176,189,top,27.7506,16.0218
177,188,top,34.6882,12.0164
178,179,top,-13.8753,32.0436
179,178,top,-6.937639999999999,28.0382
180,180,top,-20.8129,36.0491
181,181,top,-27.7506,40.0545
182,182,top,-34.6882,44.06
183,183,top,-41.6259,48.0654
184,118,top,55.5011,-32.0436
185,119,top,48.5635,-28.0382
186,120,top,41.6259,-24.0327
187,121,top,34.6882,-20.0273
188,177,top,6.27423e-06,24.0327
189,176,top,6.93765,20.0273
190,175,top,13.8753,16.0218
191,174,top,20.8129,12.0164
192,173,top,27.7506,8.01091
193,161,top,-6.937639999999999,20.0273
194,160,top,4.18282e-06,16.0218
195,195,top,-13.8753,40.0545
196,196,top,-20.8129,44.06
197,197,top,-27.7506,48.0654
198,198,top,-34.6882,52.0709
199,135,top,55.5011,-24.0327
200,136,top,48.5635,-20.0272
201,201,top,48.5635,12.0164
202,202,top,41.6259,16.0218
203,159,top,6.93765,12.0164
204,158,top,13.8753,8.01091
205,157,top,20.8129,4.00546
206,156,top,27.7506,7.244860000000001e-06
207,207,top,6.93765,36.0491
208,208,top,1.04571e-05,40.0545
209,209,top,-6.93763,44.06
210,210,top,-13.8753,48.0654
211,211,top,-20.8129,52.0709
212,212,top,-27.7506,56.0763
213,213,top,62.4388,12.0164
214,214,top,55.5012,16.0218
215,215,top,48.5635,20.0273
216,216,top,41.6259,24.0327
217,217,top,34.6882,28.0382
218,218,top,27.7506,32.0436
219,219,top,20.8129,36.0491
220,220,top,13.8753,40.0545
