,PMT Location,Top/Bottom,ADC (crate.slot.channel),0vbb ADC (crate.slot.channel),DM ADC ID,0vbb ADC ID,Amp (crate.slot.channel),Cable number sum signal,Linear Fan,x,y
0,0,top,0.18.0,2.12.4,1247,154.0,0.9.0,,,-13.8753,-64.0872
1,1,top,1.1.0,2.14.1,1216,876.0,0.10.0,,,-20.8129,-60.0818
2,2,top,1.0.0,2.12.7,1352,154.0,0.9.8,,,-27.7506,-56.0763
3,3,top,0.18.1,2.11.1,1247,153.0,0.9.1,,,-34.6882,-52.0709
4,4,top,0.0.0,1.13.1,1249,1269.0,0.0.0,,,-41.6259,-48.0654
5,5,top,0.1.0,1.13.5,1244,1269.0,0.0.8,,,-48.5635,-44.06
6,6,top,1.0.1,2.12.3,1352,154.0,0.9.9,,,-1.67313e-05,-64.0872
7,7,top,1.1.1,2.14.3,1216,876.0,0.10.1,,,-6.93766,-60.0818
8,8,top,0.18.2,2.11.4,1247,153.0,0.9.2,,,-13.8753,-56.0763
9,9,top,1.1.2,2.14.2,1216,876.0,0.10.2,,,-20.8129,-52.0709
10,10,top,1.0.2,2.11.5,1352,153.0,0.9.10,,,-27.7506,-48.0654
11,11,top,0.2.0,1.16.0,1236,1371.0,0.1.0,,,-34.6882,-44.06
12,12,top,0.1.1,1.13.4,1244,1269.0,0.0.9,,,-41.6259,-40.0545
13,13,top,0.0.1,1.14.1,1249,1325.0,0.0.1,,,-48.5635,-36.0491
14,14,top,0.2.1,1.15.3,1236,1370.0,0.1.1,,,-55.5012,-32.0436
15,15,top,0.16.0,2.10.7,1227,156.0,0.8.0,,,13.8753,-64.0872
16,16,top,0.18.3,2.11.3,1247,153.0,0.9.3,,,6.93763,-60.0818
17,17,top,1.0.3,2.11.6,1352,153.0,0.9.11,,,-1.46399e-05,-56.0763
18,18,top,1.1.3,2.14.4,1216,876.0,0.10.3,,,-6.93766,-52.0709
19,19,top,1.0.4,2.12.6,1352,154.0,0.9.12,,,-13.8753,-48.0654
20,20,top,0.18.4,2.12.0,1247,154.0,0.9.4,,,-20.8129,-44.06
21,21,top,0.1.2,1.14.7,1244,1325.0,0.0.10,,,-27.7506,-40.0545
22,22,top,0.2.2,1.15.4,1236,1370.0,0.1.2,,,-34.6882,-36.0491
23,23,top,0.0.2,1.13.0,1249,1269.0,0.0.2,,,-41.6259,-32.0436
24,24,top,0.1.3,1.14.2,1244,1325.0,0.0.11,,,-48.5635,-28.0382
25,25,top,0.2.3,1.16.5,1236,1371.0,0.1.3,,,-55.5012,-24.0327
26,26,top,0.0.3,1.14.3,1249,1325.0,0.0.3,,,-62.4388,-20.0273
27,27,top,0.17.0,2.10.5,1257,156.0,0.8.8,,,20.8129,-60.0818
28,28,top,0.15.0,2.7.5,1161,1092.0,0.7.8,,,13.8753,-56.0763
29,29,top,1.1.4,2.13.0,1216,117.0,0.10.4,,,6.93763,-52.0709
30,30,top,0.18.5,2.11.2,1247,153.0,0.9.5,,,-1.2548499999999999e-05,-48.0654
31,31,top,1.0.5,2.11.7,1352,153.0,0.9.13,,,-6.93766,-44.06
32,32,top,1.1.5,2.14.5,1216,876.0,0.10.5,,,-13.8753,-40.0545
